Years,embloyees,changePer,Revenue,RevenueChangePer,Subscribers
2020,9400,0.09,25000000,0.24,192900000
2019,8600,0.18,20160000,0.28,151500000
2018,7300,0.33,15790000,0.35,124300000
2017,5500,0.17,11690000,0.32,99000000
2016,4700,0.27,8830000,0.32,79900000
2015,3700,0.69,6700000,0.24,62700000
2014,2189,0.08,5400000,0.26,47900000
2013,2022,-0.01,4300000,0.23,35600000
2012,2045,-0.13,3500000,0.13,25700000
2011,2348,0.08,3100000,,21500000
2010,2180,0.16,,,
2009,1883,0.15,,,
2008,1644,0.07,,,
2007,1542,0.19,,,
2006,1300,0.32,,,
2005,985,0,,,
